pm10,so2,co,o3,no2,max,categori
60,54,9,42,21,100,1
62,51,13,40,22,103,0
62,51,11,42,26,97,1
72,55,15,28,36,119,0
73,55,12,34,34,106,0
60,51,13,33,35,89,1
74,52,14,29,29,134,0
66,52,13,33,27,106,0
69,52,12,41,30,110,0
69,51,12,38,34,106,0
64,51,10,31,33,96,1
63,52,11,32,31,105,0
76,51,11,44,27,123,0
68,52,12,36,29,122,0
87,52,17,39,41,140,0
74,51,19,48,33,109,0
79,55,16,32,38,118,0
66,52,15,39,28,115,0
66,51,11,45,30,111,0
62,50,10,37,28,93,1
74,52,12,36,28,120,0
73,51,13,34,24,109,0
60,51,11,27,24,86,1
64,52,16,29,34,106,0
68,54,12,35,31,88,1
58,53,10,39,32,80,1
70,53,12,46,41,109,0
66,51,10,36,27,111,0
56,52,9,27,21,88,1
36,50,8,47,19,61,1
69,54,20,45,45,110,0
53,52,10,52,24,89,1
50,51,7,53,20,85,1
57,53,9,51,22,101,0
56,50,10,68,19,83,1
58,52,11,54,34,81,1
61,52,11,58,36,99,1
64,54,14,48,32,119,0
61,53,10,53,22,116,0
57,53,8,47,26,109,0
55,52,11,50,20,102,0
56,50,10,54,19,98,1
53,49,12,47,33,89,1
49,49,10,49,28,71,1
61,57,13,63,38,102,0
71,63,16,63,37,117,0
58,59,11,65,38,91,1
70,61,12,58,35,127,0
70,62,11,53,28,96,1
62,60,11,64,29,110,0
65,67,11,54,33,90,1
66,66,10,58,35,103,0
52,60,9,50,28,77,1
60,64,11,54,35,98,1
55,62,9,60,29,83,1
61,61,9,72,26,97,1
68,64,12,66,30,100,1
77,76,12,49,35,111,0
57,63,9,58,31,91,1
73,65,12,70,35,131,0
100,64,15,64,37,157,0
68,63,15,63,44,122,0
71,63,15,65,30,126,0
57,58,11,45,26,88,1
52,60,18,42,35,81,1
50,73,11,50,27,96,1
53,61,11,57,32,74,1
73,82,18,46,48,120,0
67,81,13,53,36,109,0
68,60,17,62,36,113,0
65,62,14,70,37,104,0
75,67,16,50,43,130,0
62,64,15,50,39,90,1
54,67,16,56,39,78,1
54,80,19,49,35,80,1
64,81,15,58,40,103,0
56,63,28,56,32,79,1
64,77,17,48,41,91,1
54,51,18,49,35,77,1
52,51,13,73,38,83,1
63,52,17,63,47,95,1
64,52,23,46,46,95,1
57,52,13,52,40,86,1
52,51,10,55,25,81,1
53,52,20,39,41,73,1
67,51,21,47,38,106,0
61,51,11,36,25,100,1
47,51,12,36,32,71,1
44,47,10,38,19,63,1
52,47,16,52,40,82,1
50,47,13,46,34,68,1
36,47,9,36,17,58,1
53,47,11,41,14,82,1
60,50,13,45,35,99,1
63,43,18,56,35,106,0
32,41,7,42,12,45,2
37,43,8,41,17,58,1
52,41,19,45,44,76,1
29,42,7,41,12,45,2
25,41,7,41,9,55,1
35,42,8,37,12,59,1
63,42,12,40,21,83,1
58,41,17,39,31,78,1
37,41,10,45,22,56,1
19,41,7,47,10,47,2
29,42,8,42,12,55,1
46,43,10,44,17,66,1
63,43,13,41,30,100,1
35,42,7,40,14,56,1
54,43,9,48,17,71,1
50,45,13,43,16,65,1
53,44,17,39,29,80,1
62,55,23,45,57,91,1
179,44,12,43,21,179,0
49,45,17,51,30,76,1
46,46,11,51,20,63,1
51,47,14,41,30,73,1
38,45,8,51,22,60,1
49,43,17,42,34,63,1
53,44,11,34,23,68,1
51,46,15,37,26,76,1
69,44,19,50,30,124,0
78,43,20,34,36,136,0
58,43,18,57,35,81,1
51,42,18,54,32,69,1
65,41,24,78,45,102,0
57,42,13,58,20,86,1
62,42,19,39,49,74,1
65,56,28,54,65,98,1
70,57,19,44,44,99,1
36,53,15,36,52,65,1
56,56,23,35,62,85,1
44,51,15,37,34,71,1
75,61,23,40,47,121,0
59,53,16,34,33,89,1
61,54,15,37,29,98,1
60,53,17,38,44,102,0
64,52,44,37,53,90,1
